grupo,nome_pt,consulta,nome_en_encontrado,gif_url
Quadríceps,Agachamento búlgaro,dumbbell bulgarian split squat,dumbbell step-up split squat,videos/2812-QjE2DcA.gif
Quadríceps,Agachamento com cinto (belt squat),belt squat,band squat,videos/1004-TUZLh71.gif
Quadríceps,Agachamento frontal,barbell front squat,barbell front squat,videos/0042-zG0zs85.gif
Quadríceps,Agachamento livre,barbell full squat,barbell full squat,videos/0043-qXTaZnJ.gif
Quadríceps,Agachamento no smith,smith machine squat,smith chair squat,videos/0750-Gu2rNJd.gif
Quadríceps,Cadeira extensora,lever leg extension,lever leg extension,videos/0585-my33uHU.gif
Quadríceps,Hack squat,hack squat,sled hack squat,videos/0743-Qa55kX1.gif
Quadríceps,Leg press 45 graus,sled 45 leg press,sled 45в° leg press,videos/0739-10Z2DXU.gif
Quadríceps,Leg press horizontal,horizontal leg press,band horizontal pallof press,videos/0979-9pa4H5m.gif
Quadríceps,Leg press unilateral,single leg press,smith leg press,videos/0760-7zdxRTl.gif
Quadríceps,Passada (step-up),barbell step up,barbell step-up,videos/0114-Kxquu2E.gif
Tríceps,Extensão de tríceps na polia alta unilateral,cable one arm tricep extension,cable standing reverse grip one arm overhead tricep extension,videos/1727-i11JWU7.gif
Tríceps,Mergulho no banco,bench dip,three bench dip,videos/1753-DQ0cqkT.gif
Tríceps,Paralelas,parallel bar dip,weighted straight bar dip,videos/3313-Ff18ItA.gif
Tríceps,Supino fechado,barbell close grip bench press,barbell close-grip bench press,videos/0030-J6Dx1Mu.gif
Tríceps,Tríceps coice com halter,dumbbell kickback,dumbbell kickback,videos/0333-W6PxUkg.gif
Tríceps,Tríceps francês com halter,dumbbell overhead tricep extension,dumbbell seated reverse grip one arm overhead tricep extension,videos/1738-5fKX7wi.gif
Tríceps,Tríceps máquina,lever tricep extension,lever triceps extension,videos/0607-Ser9eQp.gif
Tríceps,Tríceps pulley (corda),cable rope pushdown,cable pushdown (with rope attachment),videos/0200-dU605di.gif
Tríceps,Tríceps testa com barra,barbell lying triceps extension,barbell lying triceps extension,videos/0061-iZop9xO.gif
